dateobs jd mag dmag telescope filter magtype
2021-04-12 2459317.31666 15.2679 0.0389 1m0-13 i 1
2021-04-18 2459322.63163 15.2462 0.0166 1m0-04 B 1
2021-04-18 2459322.63264 15.2623 0.0164 1m0-04 B 1
2021-04-18 2459322.63381 14.6194 0.0168 1m0-04 V 1
2021-04-18 2459322.63445 14.6221 0.0170 1m0-04 V 1
2021-04-18 2459322.63528 14.8421 0.0165 1m0-04 g 1
2021-04-18 2459322.63628 14.8316 0.0178 1m0-04 g 1
2021-04-18 2459322.63746 14.7269 0.0215 1m0-04 r 1
2021-04-18 2459322.63811 14.7390 0.0194 1m0-04 r 1
2021-04-18 2459322.63893 15.2272 0.0231 1m0-04 i 1
2021-04-18 2459322.63958 15.2440 0.0267 1m0-04 i 1
2021-04-22 2459326.71477 15.7141 0.0180 1m0-04 B 1
2021-04-22 2459326.71577 15.7177 0.0168 1m0-04 B 1
2021-04-22 2459326.71695 14.8623 0.0181 1m0-04 V 1
2021-04-22 2459326.71760 14.8377 0.0155 1m0-04 V 1
2021-04-22 2459326.71843 15.1313 0.0135 1m0-04 g 1
2021-04-22 2459326.71943 15.1346 0.0123 1m0-04 g 1
2021-04-22 2459326.72060 14.8285 0.0169 1m0-04 r 1
2021-04-22 2459326.72125 14.7869 0.0168 1m0-04 r 1
2021-04-22 2459326.72207 15.1314 0.0230 1m0-04 i 1
2021-04-22 2459326.72276 15.1325 0.0269 1m0-04 i 1
2021-04-28 2459332.66908 16.2709 0.0197 1m0-04 B 1
2021-04-28 2459332.67008 16.2386 0.0219 1m0-04 B 1
2021-04-28 2459332.67125 15.1495 0.0191 1m0-04 V 1
2021-04-28 2459332.67190 15.1640 0.0164 1m0-04 V 1
2021-04-28 2459332.67271 15.8054 0.0169 1m0-04 g 1
2021-04-28 2459332.67372 15.7991 0.0179 1m0-04 g 1
2021-04-28 2459332.67489 14.9251 0.0177 1m0-04 r 1
2021-04-28 2459332.67554 14.9593 0.0189 1m0-04 r 1
2021-04-28 2459332.67636 15.0193 0.0215 1m0-04 i 1
2021-04-28 2459332.67701 15.0219 0.0212 1m0-04 i 1
2021-05-03 2459337.99188 16.6657 0.0188 1m0-11 B 1
2021-05-03 2459337.99323 16.6492 0.0170 1m0-11 B 1
2021-05-03 2459337.99475 15.5406 0.0172 1m0-11 V 1
2021-05-03 2459337.99576 15.5730 0.0178 1m0-11 V 1
2021-05-03 2459337.99694 16.2290 0.0137 1m0-11 g 1
2021-05-03 2459337.99830 16.2646 0.0134 1m0-11 g 1
2021-05-03 2459337.99982 15.3320 0.0170 1m0-11 r 1
2021-05-03 2459338.00083 15.3219 0.0166 1m0-11 r 1
2021-05-03 2459338.00202 15.2833 0.0199 1m0-11 i 1
2021-05-03 2459338.00302 15.3235 0.0188 1m0-11 i 1
2021-05-08 2459342.64576 16.9015 0.0176 1m0-04 B 1
2021-05-08 2459342.64710 16.9139 0.0183 1m0-04 B 1
2021-05-08 2459342.64863 15.7887 0.0138 1m0-04 V 1
2021-05-08 2459342.64964 15.8419 0.0153 1m0-04 V 1
2021-05-08 2459342.65080 16.4593 0.0231 1m0-04 g 1
2021-05-08 2459342.65215 16.4970 0.0133 1m0-04 g 1
2021-05-08 2459342.65368 15.6143 0.0157 1m0-04 r 1
2021-05-08 2459342.65468 15.5924 0.0161 1m0-04 r 1
2021-05-08 2459342.65586 15.6238 0.0190 1m0-04 i 1
2021-05-08 2459342.65686 15.6232 0.0195 1m0-04 i 1
